scientific_name,most_prevalent_site,cnt
Accipiter francesii,ASSR,4
Accipiter henstii,RNP,98
Accipiter madagascariensis,MAS,1
Accipiter spp.,MAK,4
Acridotheres tristis,RNP,1
Alectroenas madagascariensis,MAK,50
Asio madagascariensis,MAK,1
Atelornis crossleyi,RNP,32
Atelornis pittoides,RNP,437
Bernieria madagascariensis,MAK,1
Bos primigenius indicus,RNP,2016
Brachypteracias leptosomus,ASSR,1
Brachypteracias squamigera,MAK,326
Buteo brachypterus,RNP,48
Canis familiaris,MAK,1209
Capra aegagrus,RNP,13
Caprimulgus madagascariensis,RNP,1
Centropus toulou,MAK,1
Cheirogaleus major,RNP,3
Cisticola cherina,MAK,7
Copsychus albospecularis,RNP,581
Copsychus sechellarum,AND,1
Corvus albus,AND,5
Corythornis madagascariensis,ASSR,1
Coturnix coturnix,RNP,13
Coturnix delegorguei,MAK,1
Coua caerulea,RNP,57
Coua reynaudii,RNP,434
Coua ruficeps,ASSR,59
Coua serriana,MAK,893
Coua spp.,MAK,58
Crossleyia tenebrosa,MAS,4
Cryptoprocta ferox,RNP,679
Cuculus rochii,RNP,11
Daubentonia madagascariensis,RNP,220
Dicrurus forficatus,ASSR,3
Dryolimnas cuvieri,RNP,212
Eliurus tanala,RNP,21
Equus ferus caballus,MTD,9
Eulemur albifrons,ASSR,23
Eulemur fulvus,RNP,1545
Eulemur fulvus refus,MTD,1
Eulemur fulvus�collaris,TGK,17
Eulemur fulvus�rufus,RNP,57
Eulemur fulvus�sanfordi,AND,1
Eulemur rubriventer,RNP,36
Eupleres goudotii,MTD,276
Euryceros prevostii,MAK,5
Eurystomus glaucurus,ASSR,1
Eutriorchis astur,MAK,1
Felis spp.,ASR,267
Fossa fossana,RNP,12578
Galidia elegans,RNP,3632
Galidictis fasciata,RNP,1706
Gallus spp.,MAK,5
Haliaeetus vociferoides,MAK,1
Hapalemur aureus,RNP,12
Hapalemur griseus,RNP,24
Hapalemur griseus�occidentalis,ASSR,7
Hapalemur occidentalis,MAS,1
Hapalemur spp.,TGK,21
Hemicentetes nigriceps,RNP,19
Hemicentetes semispinosus,MAS,94
Hemicentetes�spp.,MAK,6
Hemicentetes�spp.,RNP,6
Homo sapiens,RNP,33746
Lepilemur fleuretae,TGK,18
Lepilemur microdon,RNP,35
Lepilemur spp.,MTD,12
Lophotibis cristata,RNP,11363
Margaroperdix madagarensis,RNP,13
Mentocrex beankaensis,AND,1
Mentocrex kioloides,MAK,255
Mesitornis unicolor,MAS,29
Microcebus spp.,MTD,7
Microgale spp.,MAK,7
Milvus aegyptius,RNP,2
Monticola sharpei,RNP,3
Motacilla flaviventris,RNP,10
Mungotictis decemlineata,BET,43
Mystacornis crossleyi,MAK,7
NA,MTD,4848
Neomixis striatigula,RNP,3
Nesillas typica,RNP,3
Nesoenas picturatus,MAK,336
Nesomys�rufus,TGK,142
Nesomys�spp.,MAK,747
Numida meleagris,RNP,32
Otus rutilus,MAK,5
Oxylabes madagascariensis,MAK,1
Plegadis falcinellus,MAK,1
Potamochoerus larvatus,RNP,11958
Propithecus diadema�candidus,MAK,3
Propithecus diadema�diadema,MTD,5
Propithecus diadema�edwardsi,RNP,7
Pseudobias wardi,AND,1
Pteropus rufus,TGK,1
Rallus madagascariensis,RNP,46
Rattus rattus,RNP,246
Salanoia concolor,MAS,176
Sarothrura insularis,RNP,3
Sarothrura watersi,RNP,4
Saxicola torquatus,RNP,3
Setifer setosus,RNP,142
Sula leucogaster,AND,5
Suncus etruscus,MAK,29
Tenrec ecaudatus,RNP,814
Terpsiphone mutata,AND,1
Terpsiphone mutata,MAK,1
Terpsiphone mutata,TGK,1
Upupa marginata,RNP,2
Varecia variegata�rubra,MAS,2
Viverricula indica,RNP,76
Xanthomixis zosterops,MAS,7
Zosterops maderaspatanus,MAS,2
